sessionid,medium,session_start_time,session_end_time,userid,log_in_status,session_with_order,member_tier,eventaction,pagetype,page_order,page_order_desc,page_view_in_minutes,page_duration,p_personal_care,p_skincare,p_cosmetics,p_health_care,p_body_hair_care,p_sport,p_men,p_other,p_derma,p_watsons_brand,p_bulk_buy,b_personal_care,b_skincare,b_cosmetics,b_health_care,b_body_hair_care,b_sport,b_men,b_other,b_derma,b_watsons_brand,b_bulk_buy
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Homepage,1,20,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Category,2,19,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Category,3,18,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Category,4,16,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Category,5,15,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Category,6,17,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Product,7,14,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Category,12,12,6,10,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Category,8,8,6,10,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Product,9,9,6,10,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Product,10,10,6,10,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
0EC8733EC02738699394E46355EA72B2.twpfa118n,display,5/23/2020 8:02,11:00.0,777f8a41-885d-48a1-9c19-77da3a174dd6,N,N,anonymous,Pageview,Category,11,11,6,10,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N
