userid,pagetype,member_tier,log_in_status,page_duration,start_time
10,Other,NULL,N,60,11/1/2019 0:01
10,Homepage,NULL,N,152,11/1/2019 0:02
10,Product,NULL,N,180,11/1/2019 0:03
3d,Homepage,NULL,N,40,11/1/2019 0:04
a3,Product,NULL,N,90,11/1/2019 0:17
a3,Category,NULL,N,60,11/1/2019 0:17
a3,Product,NULL,N,60,11/1/2019 0:17
0b,Product,NULL,N,60,11/1/2019 0:18
6f,Other,NULL,N,60,11/1/2019 0:20
c3,Other,NULL,N,60,11/1/2019 0:20
30,Product,NULL,N,60,11/1/2019 0:21
d6,Product,NULL,N,60,11/1/2019 0:23
53,Homepage,NULL,N,50,11/1/2019 0:25
2d,Product,NULL,N,60,11/1/2019 0:28
6f,Checkout,NULL,N,264,11/1/2019 0:30
cb,Product,NULL,N,85,11/1/2019 0:31
48,Product,NULL,N,180,11/1/2019 0:32
9b,Other,NULL,N,60,11/1/2019 0:32
79,Category,NULL,N,146.6666667,11/1/2019 0:33
8d,SearchResult,NULL,N,60,11/1/2019 0:33
9e,Product,NULL,N,60,11/1/2019 0:33
9e,Other,NULL,N,60,11/1/2019 0:33
9e,Other,NULL,N,40,11/1/2019 0:33
9e,Other,NULL,N,60,11/1/2019 0:33
9e,Product,NULL,N,60,11/1/2019 0:33
cc,Other,NULL,N,60,11/1/2019 0:33
8d,Other,NULL,N,420,11/1/2019 0:34
fb,Product,NULL,N,1560,11/1/2019 0:34
b4,Category,NULL,N,1015,11/1/2019 0:36
b4,Other,NULL,N,165,11/1/2019 0:39
ff,Other,NULL,N,80,11/1/2019 0:39
45,Other,NULL,N,120,11/1/2019 0:40
3,Other,NULL,N,60,11/1/2019 0:41
3,Other,NULL,N,60,11/1/2019 0:41
30,Cart,NULL,N,126.6666667,11/1/2019 0:42
6e,Other,Base,Y,491.7142857,11/1/2019 0:42
9b,Other,NULL,N,220,11/1/2019 0:43
9b,Product,NULL,N,134,11/1/2019 0:43
c4,Category,NULL,N,760,11/1/2019 0:44
2f,Product,NULL,N,30,11/1/2019 0:45
2f,Other,NULL,N,60,11/1/2019 0:47
c3,Homepage,NULL,N,15,11/1/2019 0:50
d4,Product,NULL,N,30,11/1/2019 0:52
15,Other,NULL,N,60,11/1/2019 0:53
36,Other,NULL,N,180,11/1/2019 0:53
7e,Other,NULL,N,60,11/1/2019 0:53
15,Category,NULL,N,260,11/1/2019 0:54
15,Other,NULL,N,480,11/1/2019 0:54
15,Category,NULL,N,360,11/1/2019 0:54
15,Other,NULL,N,60,11/1/2019 0:55
15,Other,NULL,N,60,11/1/2019 0:55
15,MyAccount,Base,Y,120,11/1/2019 0:55
15,Category,NULL,N,30,11/1/2019 0:55
15,Category,NULL,N,60,11/1/2019 0:55
7e,Product,Base,Y,140,11/1/2019 0:55
15,Other,NULL,Y,120,11/1/2019 0:56
31,Other,NULL,N,360,11/1/2019 0:56
15,Product,NULL,N,120,11/1/2019 0:57
15,Other,NULL,N,570,11/1/2019 0:57
15,Product,NULL,N,330,11/1/2019 0:57
15,Product,NULL,N,60,11/1/2019 0:58
15,Product,NULL,N,600,11/1/2019 0:58
15,Other,NULL,N,60,11/1/2019 0:58
7f,Other,NULL,N,210,11/1/2019 0:58
7f,Product,NULL,N,50,11/1/2019 0:58
15,Product,NULL,N,900,11/1/2019 0:59
15,Other,NULL,N,120,11/1/2019 0:59
15,Category,NULL,N,310,11/1/2019 0:59
8e,Product,NULL,N,60,11/1/2019 0:59
8e,Product,NULL,N,30,11/1/2019 1:01
11,Homepage,Base,Y,49.5,11/1/2019 1:02
e5,Checkout,NULL,N,45,11/1/2019 1:05
44,Product,NULL,N,60,11/1/2019 1:07
e5,Category,NULL,N,240,11/1/2019 1:07
44,Homepage,NULL,N,195,11/1/2019 1:09
10,Other,NULL,N,290,11/1/2019 1:12
2c,SearchResult,NULL,N,60,11/1/2019 1:14
a7,Other,Base,Y,30,11/1/2019 1:14
a7,Product,NULL,N,60,11/1/2019 1:14
a7,Other,NULL,N,90,11/1/2019 1:15
a7,Product,NULL,N,180,11/1/2019 1:15
a7,Product,NULL,N,20,11/1/2019 1:15
e7,Register,NULL,N,160,11/1/2019 1:22
34,Product,NULL,N,194.2857143,11/1/2019 1:23
10,Homepage,Base,Y,20,11/1/2019 1:25
37,Homepage,NULL,N,780,11/1/2019 1:43
44,Other,NULL,N,60,11/1/2019 2:02
44,Product,NULL,N,60,11/1/2019 2:03
53,Other,NULL,N,80,11/1/2019 2:06
53,Homepage,NULL,N,230,11/1/2019 2:06
53,Other,NULL,N,60,11/1/2019 2:06
53,Homepage,NULL,N,30,11/1/2019 2:07
53,Other,NULL,N,115,11/1/2019 2:10
1e,Category,NULL,N,180,11/1/2019 2:15
1e,Product,NULL,N,120,11/1/2019 2:17
36,Product,NULL,N,30,11/1/2019 2:24
e5,Product,NULL,N,60,11/1/2019 2:25
eb,Other,Base,Y,142.2857143,11/1/2019 2:59
eb,Other,NULL,N,300,11/1/2019 2:59
59,Product,NULL,N,60,11/1/2019 3:03
59,Other,NULL,N,60,11/1/2019 3:04
32,Other,NULL,N,60,11/1/2019 3:15
a3,Product,NULL,N,60,11/1/2019 3:16
