sessionid,medium,session_start_time,session_end_time,log_in_status,session_with_order,member_tier,eventaction,pagetype,page_duration,p_personal_care,p_skincare,p_cosmetics,p_health_care,p_body_hair_care,p_sport,p_men,p_other,p_derma,p_watsons_brand,p_bulk_buy,b_personal_care,b_skincare,b_cosmetics,b_health_care,b_body_hair_care,b_sport,b_men,b_other,b_derma,b_watsons_brand,b_bulk_buy
431BE1970DFFD3F693D8DD9F60DCCB6A.twpfa116n,organic,5/23/20 11:00 PM,00:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E2D3F9BAB01E08992E6B4729BD49F075.twpfa118n,organic,5/23/20 11:00 PM,00:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Other,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Homepage,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Product,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Homepage,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Other,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Other,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Category,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Product,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
