sessionid,medium,session_start_time,userid,log_in_status,session_with_order,member_tier,eventaction,tstamp,pagetype,page_order,page_order_desc,page_view_in_minutes,page_duration,p_personal_care,p_skincare,p_cosmetics,p_health_care,p_body_hair_care,p_sport,p_men,p_other,p_derma,p_watsons_brand,p_bulk_buy,b_personal_care,b_skincare,b_cosmetics,b_health_care,b_body_hair_care,b_sport,b_men,b_other,b_derma,b_watsons_brand,b_bulk_buy
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,00:00.0,Other,1,48,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,00:00.0,Other,2,47,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,01:00.0,Other,3,46,1,120,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,03:00.0,Product,4,45,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,03:00.0,Checkout,5,44,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,03:00.0,Other,6,43,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,04:00.0,Checkout,7,42,4,15,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,04:00.0,Category,8,41,4,15,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,04:00.0,Other,9,40,4,15,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,04:00.0,Checkout,10,39,4,15,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
