sessionid,medium,session_start_time,session_end_time,log_in_status,session_with_order,member_tier,eventaction,tstamp,pagetype,pagepath,page_order,page_order_desc,page_view_in_minutes,page_duration,p_personal_care,p_skincare,p_cosmetics,p_health_care,p_body_hair_care,p_sport,p_men,p_other,p_derma,p_watsons_brand,p_bulk_buy,b_personal_care,b_skincare,b_cosmetics,b_health_care,b_body_hair_care,b_sport,b_men,b_other,b_derma,b_watsons_brand,b_bulk_buy
8E3CEAE363729CF323A65ADF4090AB9E.twpfa44n,cpc,5/23/2020 8:00,03:00.0,N,N,anonymous,Pageview,00:00.0,Category,www.watsons.com.tw/men/lc/1042,1,7,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
8E3CEAE363729CF323A65ADF4090AB9E.twpfa44n,cpc,5/23/2020 8:00,03:00.0,N,N,anonymous,Pageview,00:00.0,Homepage,www.watsons.com.tw/,2,6,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
8E3CEAE363729CF323A65ADF4090AB9E.twpfa44n,cpc,5/23/2020 8:00,03:00.0,N,N,anonymous,Pageview,01:00.0,Product,www.watsons.com.tw/è½å»ºé ­çš®æ´—é«®ä¹³-ä¿æ¿•è±åŽšé…æ–¹400ml-ä¸­æ€§é«®è³ªé©ç”¨-/p/BP_128138?text=è½å»º seborin åº·å®š é«®ç´°èƒž&page=0,3,5,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
8E3CEAE363729CF323A65ADF4090AB9E.twpfa44n,cpc,5/23/2020 8:00,03:00.0,N,N,anonymous,Pageview,01:00.0,SearchResult,www.watsons.com.tw/search2?text=è½å»º+seborin+åº·å®š+é«®ç´°èƒž,4,4,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
8E3CEAE363729CF323A65ADF4090AB9E.twpfa44n,cpc,5/23/2020 8:00,03:00.0,N,N,anonymous,Pageview,02:00.0,SearchResult,www.watsons.com.tw/search2?text=è½å»º+seborin+åº·å®š+é«®ç´°èƒž,5,2,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
8E3CEAE363729CF323A65ADF4090AB9E.twpfa44n,cpc,5/23/2020 8:00,03:00.0,N,N,anonymous,Pageview,02:00.0,Product,www.watsons.com.tw/è½å»ºé ­çš®æ´—é«®éœ²-æ½”æ·¨å¥é«®é…æ–¹400ml-ä¸­-æ²¹æ€§é«®è³ªé©ç”¨-/p/BP_128149?text=è½å»º seborin åº·å®š é«®ç´°èƒž&page=0,6,3,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
8E3CEAE363729CF323A65ADF4090AB9E.twpfa44n,cpc,5/23/2020 8:00,03:00.0,N,N,anonymous,Pageview,03:00.0,SearchResult,www.watsons.com.tw/search2?text=è½å»º+seborin+åº·å®š+é«®ç´°èƒž,7,1,1,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
1615748C4ABBC5207D752AF42C92880C.twpfa49n,organic,5/23/2020 8:01,02:00.0,N,N,anonymous,Pageview,01:00.0,Category,www.watsons.com.tw/body-hair-care/bubble-foam-color/c/10480602,1,3,1,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1615748C4ABBC5207D752AF42C92880C.twpfa49n,organic,5/23/2020 8:01,02:00.0,N,N,anonymous,Pageview,02:00.0,Category,www.watsons.com.tw/Product-Categories/c/1?q=:productBrandCode:productBrandCode:300773&text=&masterBrandCode=300773,2,1,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1615748C4ABBC5207D752AF42C92880C.twpfa49n,organic,5/23/2020 8:01,02:00.0,N,N,anonymous,Pageview,02:00.0,Product,www.watsons.com.tw/èŽ‰å©•æ³¡æ²«æŸ“é«®åŠ‘-ä¹¾ç‡¥çŽ«ç‘°æ£•è‰²/p/BP_181147,3,2,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
5056511523855ACDFDCC70C659BE7B42.twpfa114n,referral,5/23/2020 8:01,01:00.0,N,N,anonymous,Pageview,01:00.0,Category,www.watsons.com.tw/skincare/whiten-blemishes/c/10410602,1,1,1,60,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
80D5C817B505BCF6ADC31097EDAA8726.twpfa41n,organic,5/23/2020 8:01,01:00.0,N,N,anonymous,Pageview,01:00.0,Category,www.watsons.com.tw/sport/protective-gear/c/10510305,1,1,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
80D5C817B505BCF6ADC31097EDAA8726.twpfa41n,organic,5/23/2020 8:01,01:00.0,N,N,anonymous,Pageview,01:00.0,Product,www.watsons.com.tw/mcdavid-5125-å‡è† å½ˆæ€§è­·è†-(è‚Œè‚‰æ‹‰å‚·ï¼éŸŒå¸¶æ‰­å‚·è€…é©ç”¨)-l/p/BP_138821,2,2,2,30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
A6B2E610E1B4477E2CFFF67F19469FAA.twpfa38n,organic,5/23/2020 8:01,20:00.0,Y,Y,Elite,Pageview,01:00.0,Homepage,www.watsons.com.tw/,1,38,3,20,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
A6B2E610E1B4477E2CFFF67F19469FAA.twpfa38n,organic,5/23/2020 8:01,20:00.0,Y,Y,Elite,Pageview,01:00.0,Other,www.watsons.com.tw/login,2,37,3,20,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
A6B2E610E1B4477E2CFFF67F19469FAA.twpfa38n,organic,5/23/2020 8:01,20:00.0,Y,Y,Elite,Pageview,01:00.0,Homepage,www.watsons.com.tw/,3,36,3,20,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
